feature	importance	model	run_name
Endothelial cells LTC4S SEMA3G	0.04100349974280097	linear_svm	kong_reverse_cross_dataset
Fibroblasts KCNN3 LY6H	-0.040094413360413875	linear_svm	kong_reverse_cross_dataset
Macrophages CXCL9 CXCL10	0.03271319530744273	linear_svm	kong_reverse_cross_dataset
Immune Cycling cells	0.030229854198050538	linear_svm	kong_reverse_cross_dataset
Enterochromaffin cells	-0.029643041279161113	linear_svm	kong_reverse_cross_dataset
Myofibroblasts HHIP NPNT	0.028804171301554184	linear_svm	kong_reverse_cross_dataset
Inflammatory fibroblasts IL11 CHI3L1	0.02727678349007038	linear_svm	kong_reverse_cross_dataset
Stem cells OLFM4 LGR5	-0.022391774739421656	linear_svm	kong_reverse_cross_dataset
Monocytes HBB	0.02129096152862699	linear_svm	kong_reverse_cross_dataset
Activated fibroblasts CCL19 ADAMADEC1	0.01953599748159888	linear_svm	kong_reverse_cross_dataset
Fibroblasts ADAMDEC1	0.01850701262863424	linear_svm	kong_reverse_cross_dataset
ILCs	-0.015234881628473706	linear_svm	kong_reverse_cross_dataset
Cycling cells	0.013729249474698266	linear_svm	kong_reverse_cross_dataset
Neutrophils S100A8 S100A9	0.009624739245968973	linear_svm	kong_reverse_cross_dataset
Enteroendocrine cells	-0.003980060254757427	linear_svm	kong_reverse_cross_dataset
L cells	0.0022226983244449383	linear_svm	kong_reverse_cross_dataset
Lymphatics	0.05898144841194153	xgb	kong_reverse_cross_dataset
Tuft cells	0.05248168483376503	xgb	kong_reverse_cross_dataset
Mature DCs	0.04758294299244881	xgb	kong_reverse_cross_dataset
Enterocytes CA1 CA2 CA4-	0.044925227761268616	xgb	kong_reverse_cross_dataset
Monocytes S100A8 S100A9	0.04340746998786926	xgb	kong_reverse_cross_dataset
Fibroblasts NPY SLITRK6	0.04255950078368187	xgb	kong_reverse_cross_dataset
T cells CD8	0.039526186883449554	xgb	kong_reverse_cross_dataset
Paneth cells	0.03317888826131821	xgb	kong_reverse_cross_dataset
Endothelial cells DARC	0.02982611022889614	xgb	kong_reverse_cross_dataset
Tregs	0.02935037761926651	xgb	kong_reverse_cross_dataset
T cells CD4 FOSB	0.025181764736771584	xgb	kong_reverse_cross_dataset
Monocytes CHI3L1 CYP27A1	0.025134380906820297	xgb	kong_reverse_cross_dataset
Enterochromaffin cells	0.02401466853916645	xgb	kong_reverse_cross_dataset
Stromal Cycling cells	0.024007635191082954	xgb	kong_reverse_cross_dataset
DC2 CD1D-	0.023249804973602295	xgb	kong_reverse_cross_dataset
DC2 CD1D	0.021896935999393463	xgb	kong_reverse_cross_dataset
Goblet cells SPINK4	0.021808041259646416	xgb	kong_reverse_cross_dataset
DC1	0.021357623860239983	xgb	kong_reverse_cross_dataset
T cells Naive CD4	0.020517338067293167	xgb	kong_reverse_cross_dataset
Mast cells	0.01921497844159603	xgb	kong_reverse_cross_dataset
Myofibroblasts HHIP NPNT	0.019078997895121574	xgb	kong_reverse_cross_dataset
ILCs	0.019064905121922493	xgb	kong_reverse_cross_dataset
