feature	importance	model	run_name
NKs	-0.011656110756309757	linear_svm	kong_cross_dataset_composition_noclr
CD69- Mast	0.01104830852796734	linear_svm	kong_cross_dataset_composition_noclr
WNT2B+ Fos-lo 1	-0.009321271764244765	linear_svm	kong_cross_dataset_composition_noclr
ILCs	-0.006881940784330967	linear_svm	kong_cross_dataset_composition_noclr
DC1	-0.006424554603835494	linear_svm	kong_cross_dataset_composition_noclr
Cycling T	0.0062040380891304646	linear_svm	kong_cross_dataset_composition_noclr
WNT5B+ 1	0.0010099502960101009	linear_svm	kong_cross_dataset_composition_noclr
Immature Enterocytes 1	0.09530094265937805	xgb	kong_cross_dataset_composition_noclr
Tregs	0.08241808414459229	xgb	kong_cross_dataset_composition_noclr
Inflammatory Fibroblasts	0.08124672621488571	xgb	kong_cross_dataset_composition_noclr
Pericytes	0.07270725816488266	xgb	kong_cross_dataset_composition_noclr
CD8+ IELs	0.07256560027599335	xgb	kong_cross_dataset_composition_noclr
Myofibroblasts	0.056881703436374664	xgb	kong_cross_dataset_composition_noclr
CD4+ Activated Fos-lo	0.04913462698459625	xgb	kong_cross_dataset_composition_noclr
CD69+ Mast	0.048949651420116425	xgb	kong_cross_dataset_composition_noclr
Cycling Monocytes	0.04888417199254036	xgb	kong_cross_dataset_composition_noclr
Glia	0.04198446869850159	xgb	kong_cross_dataset_composition_noclr
Enterocyte Progenitors	0.041957128793001175	xgb	kong_cross_dataset_composition_noclr
WNT5B+ 2	0.041387684643268585	xgb	kong_cross_dataset_composition_noclr
CD8+ LP	0.035571563988924026	xgb	kong_cross_dataset_composition_noclr
ILCs	0.031194400042295456	xgb	kong_cross_dataset_composition_noclr
CD8+ IL17+	0.030634643509984016	xgb	kong_cross_dataset_composition_noclr
Microvascular	0.022382166236639023	xgb	kong_cross_dataset_composition_noclr
M cells	0.018178952857851982	xgb	kong_cross_dataset_composition_noclr
DC1	0.018079770728945732	xgb	kong_cross_dataset_composition_noclr
CD4+ PD1+	0.015640337020158768	xgb	kong_cross_dataset_composition_noclr
Tuft	0.014978719875216484	xgb	kong_cross_dataset_composition_noclr
Immature Goblet	0.013726521283388138	xgb	kong_cross_dataset_composition_noclr
NKs	0.011123421601951122	xgb	kong_cross_dataset_composition_noclr
Enteroendocrine	0.008820174261927605	xgb	kong_cross_dataset_composition_noclr
DC2	0.008510001003742218	xgb	kong_cross_dataset_composition_noclr
CD69- Mast	0.00710724014788866	xgb	kong_cross_dataset_composition_noclr
Plasma	0.006125727202743292	xgb	kong_cross_dataset_composition_noclr
Cycling TA	0.005853458307683468	xgb	kong_cross_dataset_composition_noclr
MT-hi	0.005481286905705929	xgb	kong_cross_dataset_composition_noclr
Secretory TA	0.005440548527985811	xgb	kong_cross_dataset_composition_noclr
TA 1	0.0040867868810892105	xgb	kong_cross_dataset_composition_noclr
Stem	0.003646214958280325	xgb	kong_cross_dataset_composition_noclr
CD4+ Memory	0.0	xgb	kong_cross_dataset_composition_noclr
CD4+ Activated Fos-hi	0.0	xgb	kong_cross_dataset_composition_noclr
Best4+ Enterocytes	0.0	xgb	kong_cross_dataset_composition_noclr
Cycling B	0.0	xgb	kong_cross_dataset_composition_noclr
Enterocytes	0.0	xgb	kong_cross_dataset_composition_noclr
Endothelial	0.0	xgb	kong_cross_dataset_composition_noclr
Cycling T	0.0	xgb	kong_cross_dataset_composition_noclr
Inflammatory Monocytes	0.0	xgb	kong_cross_dataset_composition_noclr
GC	0.0	xgb	kong_cross_dataset_composition_noclr
Follicular	0.0	xgb	kong_cross_dataset_composition_noclr
Goblet	0.0	xgb	kong_cross_dataset_composition_noclr
Immature Enterocytes 2	0.0	xgb	kong_cross_dataset_composition_noclr
Macrophages	0.0	xgb	kong_cross_dataset_composition_noclr
Post-capillary Venules	0.0	xgb	kong_cross_dataset_composition_noclr
RSPO3+	0.0	xgb	kong_cross_dataset_composition_noclr
TA 2	0.0	xgb	kong_cross_dataset_composition_noclr
WNT2B+ Fos-hi	0.0	xgb	kong_cross_dataset_composition_noclr
WNT2B+ Fos-lo 1	0.0	xgb	kong_cross_dataset_composition_noclr
WNT2B+ Fos-lo 2	0.0	xgb	kong_cross_dataset_composition_noclr
WNT5B+ 1	0.0	xgb	kong_cross_dataset_composition_noclr
