model	fold	feature	importance	clr
linear_svm	1	Goblet cells MUC2 TFF1	0.06139956120980755	True
linear_svm	1	Enterocytes CA1 CA2 CA4-	0.03527588281665134	True
linear_svm	1	Stem cells OLFM4	0.028145281503322545	True
linear_svm	1	T cells CD8	0.027227094879711936	True
linear_svm	1	Fibroblasts ADAMDEC1	0.018344662718531413	True
linear_svm	1	Macrophages	0.0020767544440644936	True
elasticnet	1	Monocytes S100A8 S100A9	1.22549416263804	True
elasticnet	1	Goblet cells SPINK4	0.8852927627563371	True
elasticnet	1	Epithelial Cycling cells	0.8120790632724418	True
elasticnet	1	Plasma cells	0.6515008996111723	True
elasticnet	1	Fibroblasts KCNN3 LY6H	0.4924586750436931	True
elasticnet	1	Tregs	0.4907621403089656	True
elasticnet	1	Endothelial cells CD36	0.4164441849040446	True
elasticnet	1	Macrophages LYVE1	0.3835806831276731	True
elasticnet	1	Fibroblasts SMOC2 PTGIS	0.3353776199522761	True
elasticnet	1	Enterocytes BEST4	0.20598668277589663	True
elasticnet	1	Myofibroblasts HHIP NPNT	0.11016947531131649	True
elasticnet	1	Mast cells	0.07399612655310435	True
elasticnet	1	Macrophages CCL3 CCL4	0.011629801709123307	True
elasticnet	1	Fibroblasts ADAMDEC1	0.0	True
elasticnet	1	B cells	0.0	True
elasticnet	1	DC2 CD1D	0.0	True
elasticnet	1	Macrophages	0.0	True
elasticnet	1	Goblet cells MUC2 TFF1-	0.0	True
elasticnet	1	Goblet cells MUC2 TFF1	0.0	True
elasticnet	1	Glial cells	0.0	True
elasticnet	1	Fibroblasts NPY SLITRK6	0.0	True
elasticnet	1	Enterocytes CA1 CA2 CA4-	0.0	True
elasticnet	1	Enterocytes TMIGD1 MEP1A	0.0	True
elasticnet	1	NK-like cells ID3 ENTPD1	0.0	True
elasticnet	1	Stem cells OLFM4	0.0	True
elasticnet	1	Stem cells OLFM4 LGR5	0.0	True
elasticnet	1	T cells CD4 FOSB	0.0	True
elasticnet	1	Stem cells OLFM4 PCNA	0.0	True
elasticnet	1	T cells CD4 IL17A	0.0	True
elasticnet	1	T cells CD8	0.0	True
elasticnet	1	T cells CD8 KLRG1	0.0	True
elasticnet	1	T cells Naive CD4	0.0	True
xgb	1	Monocytes S100A8 S100A9	0.08837482333183289	True
xgb	1	Glial cells	0.081028513610363	True
xgb	1	Macrophages	0.06417166441679001	True
xgb	1	B cells	0.06336982548236847	True
xgb	1	Enterocytes CA1 CA2 CA4-	0.05856679379940033	True
xgb	1	Fibroblasts ADAMDEC1	0.054281286895275116	True
xgb	1	Enterocytes BEST4	0.051361482590436935	True
xgb	1	Epithelial Cycling cells	0.04948741942644119	True
xgb	1	Stem cells OLFM4 PCNA	0.047049351036548615	True
xgb	1	Mast cells	0.044609829783439636	True
xgb	1	T cells CD4 IL17A	0.043717581778764725	True
xgb	1	Fibroblasts SMOC2 PTGIS	0.03715823218226433	True
xgb	1	Fibroblasts NPY SLITRK6	0.03708259388804436	True
xgb	1	Plasma cells	0.03601066768169403	True
xgb	1	NK-like cells ID3 ENTPD1	0.034323468804359436	True
xgb	1	Fibroblasts KCNN3 LY6H	0.03428994491696358	True
xgb	1	Myofibroblasts HHIP NPNT	0.03179919347167015	True
xgb	1	Stem cells OLFM4 LGR5	0.030357396230101585	True
xgb	1	T cells Naive CD4	0.028541700914502144	True
xgb	1	Stem cells OLFM4	0.02509823441505432	True
xgb	1	Endothelial cells CD36	0.023871470242738724	True
xgb	1	Macrophages LYVE1	0.011118673719465733	True
xgb	1	Goblet cells SPINK4	0.00994239654392004	True
xgb	1	Enterocytes TMIGD1 MEP1A	0.0069984085857868195	True
xgb	1	T cells CD8	0.0039032180793583393	True
xgb	1	Tregs	0.002036192687228322	True
xgb	1	Goblet cells MUC2 TFF1	0.001256766845472157	True
xgb	1	Macrophages CCL3 CCL4	0.00019293259538244456	True
xgb	1	Goblet cells MUC2 TFF1-	0.0	True
xgb	1	DC2 CD1D	0.0	True
xgb	1	T cells CD4 FOSB	0.0	True
xgb	1	T cells CD8 KLRG1	0.0	True
catboost	1	Fibroblasts ADAMDEC1	18.410623745228307	True
catboost	1	Epithelial Cycling cells	11.791008278602074	True
catboost	1	Glial cells	7.991820238730974	True
catboost	1	Monocytes S100A8 S100A9	6.920098044830708	True
catboost	1	Stem cells OLFM4 PCNA	4.026416845062847	True
catboost	1	Fibroblasts KCNN3 LY6H	3.7556972395893737	True
catboost	1	B cells	3.735713867592074	True
catboost	1	Plasma cells	3.5150457280927228	True
catboost	1	T cells CD8 KLRG1	3.1249624674924323	True
catboost	1	DC2 CD1D	3.0569091047947863	True
catboost	1	T cells CD4 IL17A	2.955165935330123	True
catboost	1	Fibroblasts NPY SLITRK6	2.8097613523891756	True
catboost	1	Tregs	2.7200882081886135	True
catboost	1	Endothelial cells CD36	2.4007067232362393	True
catboost	1	Macrophages	2.286068869824303	True
catboost	1	Stem cells OLFM4	2.2076407219804897	True
